,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,VIN,Price_x,year_x,City_x,Brand
462,2012 yahmaha FZ8,gas,32000,,,manual,,,,,4200,2012,beaumont,yahmaha
463,2013 *Harley-Davidson* *Dyna* *Super* *Glide* *Custom*,other,9092,blue,clean,,,,,1HD1GV411DC335089,10374,2013,abilene,harleydavidson
464,2013 *Harley-Davidson* *FLHTK* *EG* *Ultra*,other,4543,black,clean,manual,,,,1HD1KEM18DB605441,15982,2013,abilene,harleydavidson
465,2013 *Harley-Davidson* *FXDF* *Dyna* *Fat*,other,4098,black,clean,manual,,,,1HD1GYM1XDC302206,11981,2013,abilene,harleydavidson
466,2013 *Harley-Davidson* *Softail* *Slim*,other,10838,black,clean,manual,,,,1HD1JRV12DB053492,12542,2013,abilene,harleydavidson
467,2013 *Harley-Davidson* *VRSCF* *V-Rod*,other,12388,black,clean,manual,,,,1HD1HPH13DC803696,13800,2013,abilene,harleydavidson
468,2013 *Kawasaki* *Ninja* ** *650R*,other,3784,white,clean,manual,,,,JKAEXEE19DDA12658,6950,2013,abilene,kawasaki
469,2013 BMW K1600 GTL,gas,9947,custom,clean,manual,like new,1649,touring,,14100,2013,easttexas,bmw
470,2013 BMW R 1200 R,gas,75874,blue,clean,other,,,,WB10A6104JZ656405,7950,2013,austin,bmw
471,2013 BMW R1200 GSA,gas,61000,red,clean,manual,excellent,1200,dual-sport,,12500,2013,dallas,bmw
472,2013 CRF150R,gas,1234,red,missing,manual,excellent,,dirtbike,,2750,2013,corpuschristi,crf150r
473,2013 Can-Am® Spyder® ST-S SM5,gas,9657,yellow,clean,other,,,,2BXNCAC13DV000150,12750,2013,dallas,canam
474,2013 Ducati 848 EVO 848  EVO Superbike,gas,10321,,clean,manual,excellent,,sport bike,ZDM1XBMV9DB023633,9399,2013,dallas,ducati
475,2013 Goldwing Bagger,gas,3475,silver,clean,manual,excellent,1800,other,,17000,2013,houston,goldwing
476,"2013 HARLEY DAVIDSON HERITAGE SOFTAIL ""3,215 MILES""",gas,3214,red,clean,manual,excellent,103,cruiser,,10000,2013,houston,harley
477,2013 HD BREAKOUT,gas,23800,blue,clean,manual,excellent,,street,,12995,2013,houston,hd
478,2013 Harley Davidson Black Street Glide FLHX,gas,34217,black,clean,other,,103,,1HD1KBM13DB686881,13500,2013,dallas,harley
479,2013 Harley Davidson FXDC Super Glide Custom,gas,4000,black,clean,manual,like new,,cruiser,,9500,2013,houston,harley
480,2013 Harley Davidson Fat Boy,gas,7200,black,clean,manual,like new,,cruiser,,12800,2013,corpuschristi,harley
481,2013 Harley Davidson Road Glide 21k miles,gas,21000,red,clean,manual,like new,103,touring,,15000,2013,dallas,harley
482,"2013 Harley Davidson Ultra 9,600 Miles",gas,9600,black,clean,manual,new,103,touring,,15500,2013,dallas,harley
483,2013 Harley-Davidson Electraglide,gas,30000,white,lien,manual,excellent,,touring,,12000,2013,easttexas,harleydavidson
484,2013 Harley-Davidson FLTRX,gas,29500,black,clean,manual,excellent,1450,touring,1HD1KHM18DB671408,19100,2013,dallas,harleydavidson
485,2013 Harley-Davidson Road Glide Custom FLTRX103,gas,17526,black,clean,manual,,,,1HD1KHM18DB694297,16999,2013,corpuschristi,harleydavidson
486,2013 Harley-Davidson Road King FLHR103,gas,18988,,clean,manual,,,,1HD1FBM10DB627274,18469,2013,corpuschristi,harleydavidson
487,2013 Harley-Davidson Ultra Classic Electra Glide FLHTCU,gas,20040,,clean,manual,,,,1HD1FCM12DB604293,20318,2013,corpuschristi,harleydavidson
488,2013 Honda CB 500F 500 F 500-F for $93/mo a month!,gas,5645,,clean,manual,excellent,,standard,MLHPC4514D5000040,4495,2013,dallas,honda
489,2013 Honda CBR1000REPD CBR 1000 REPD CBR-1000-REPD REPSOL,gas,17479,,clean,manual,excellent,,sport bike,JH2SC5958DK500176,11499,2013,corpuschristi,honda
490,2013 Honda CBR500R,,,,,,,,,,4479,2013,dallas,honda
491,2013 Honda CRF150F,gas,600,white,clean,manual,good,150,dirtbike,,3400,2013,austin,honda
492,2013 Honda CRF450R,gas,300,,,manual,,,,,3700,2013,amarillo,honda
493,2013 Honda® NC700X,gas,4896,silver,clean,other,,,,JH2RC6357DK100767,7750,2013,austin,honda
494,2013 KTM 250 XCF-W,gas,915,orange,clean,other,,,,VBKEXG405DM084320,4450,2013,austin,ktm
495,2013 Kawasaki Ninja ZX10R ZX 10 R ZX-10-R Ninja ZX 10R Ninja ZX-10R,gas,17040,,clean,manual,excellent,,sport bike,JKAZXCJ14DA017227,9899,2013,dallas,kawasaki
496,2013 Kawasaki Ninja ZX6R ZX 6 R ZX-6-R ZX 6R ZX-6R for $171/mo a month,gas,4407,,clean,manual,excellent,,sport bike,JKBZXJE14DA004679,8295,2013,dallas,kawasaki
497,2013 Kx450f w title low hours,gas,1234,black,clean,manual,,450,dirtbike,,3950,2013,sanantonio,kx450f
498,2013 Lingyu 150 CC,gas,36,white,clean,automatic,new,150,scooter,,900,2013,dallas,lingyu
499,2013 NC700X,gas,4896,silver,clean,other,,,,JH2RC6357DK100767,3500,2013,austin,nc700x
500,2013 ROAD GLIDE CUSTOM,gas,11500,blue,clean,manual,like new,,touring,,19000,2013,dallas,road
501,2013 SUZUKI GSX-R600,gas,28527,blue,clean,manual,good,599,sport bike,,7980,2013,dallas,suzuki
502,2013 SUZUKI GSX-R750,gas,874,black,clean,automatic,,,,JS1GR7MA1D2100516,8980,2013,dallas,suzuki
503,2013 Suzuki Boulevard S40,gas,2300,,clean,manual,good,650,cruiser,JS1NP41A2D2100945,3400,2013,beaumont,suzuki
504,2013 Suzuki GSX-R 600 Horizontal In-line 599 cc,Unknown,23040,custom,clean,manual,,,,JS1GN7FAXD2101205,8999,2013,dallas,suzuki
505,2013 Suzuki GSXR GSX R GSX-R 750 for $206/mo a month!,gas,12387,,clean,manual,excellent,,sport bike,JS1GR7MA1D2102797,9995,2013,dallas,suzuki
506,2013 Suzuki GSXR600R GSXR 600 R GSXR-600-R  FOR ONLY,gas,7847,,clean,manual,excellent,,standard,JS1GN7FA4D2102978,7495,2013,dallas,suzuki
507,2013 Suzuki RMZ250,gas,1000,,clean,manual,excellent,250,dirtbike,,3195,2013,dallas,suzuki
508,2013 Triumph Bonneville,gas,1091,white,clean,manual,like new,,,,5900,2013,dallas,triumph
509,2013 Triumph Street Triple R,gas,17148,,clean,manual,excellent,675,sport bike,,5750,2013,austin,triumph
510,2013 Triumph Tiger  800 ABS for $142/mo a month!,gas,17159,,clean,manual,excellent,,dual-sport,SMTE05BF7DT575898,6895,2013,dallas,triumph
511,"2013 Victory Highball, MINT, Extra, 3600 Miles, Title in Hand",gas,3600,black,clean,manual,like new,1700,cruiser,5VPWB36N5D3016872,7999,2013,austin,victory
512,2013 Victory Motorcycles® Cross Country® Tour,gas,46727,black,clean,other,,106,,5VPTW36N4D3021729,9999,2013,dallas,victory
513,2013 Yamaha Stryker V Twin 1304 cc,Unknown,14332,black,clean,manual,,,,JYAVP33E9DA008930,7999,2013,dallas,yamaha
514,2013 Yamaha Stryker®,Unknown,14332,black,clean,manual,,,,JYAVP33E9DA008930,6990,2013,dallas,yamaha
515,2013 Yamaha V-star 1300 tourer,gas,17838,,clean,manual,excellent,,touring,,7000,2013,austin,yamaha
516,2013 Yamaha YZF R1 R 1 R-1 for $251/mo a month!,gas,11793,,clean,manual,excellent,,sport bike,JYARN23E6DA016047,12195,2013,dallas,yamaha
517,2013 honda crf150r obo,gas,Unknown,black,clean,manual,good,150,dirtbike,,4500,2013,austin,honda
518,2014 *Harley-Davidson* *FLHTCUTG* *Tri* *Glide*,other,11653,blue,clean,manual,,,,1HD1MAL12EB853710,28752,2014,abilene,harleydavidson
519,2014 *Harley-Davidson* *FLHX* *Street* *Glide*,other,9506,grey,clean,manual,,,,1HD1KBM18EB621171,16984,2014,abilene,harleydavidson
520,2014 *Harley-Davidson* *FLHXS* *Street* *Glide*,other,21656,silver,clean,manual,,,,1HD1KRM16EB707233,18472,2014,abilene,harleydavidson
521,2014 *Harley-Davidson* *FXDL* *Dyna* *Low*,other,36630,silver,clean,manual,,,,1HD1GNM28EC319905,11851,2014,abilene,harleydavidson
522,2014 *Harley-Davidson* *Street* *Glide* *Special* *FLHXS*,other,3720,grey,clean,manual,,,,1HD1KRM34EB711136,18751,2014,abilene,harleydavidson
523,2014 BMW F800GS Adventure,gas,38731,,clean,manual,good,798,dual-sport,,7800,2014,austin,bmw
524,2014 BMW S1000 S 1000 S-1000 RR,gas,6544,,clean,manual,excellent,,sport bike,WB1053409EZL18860,13999,2014,dallas,bmw
525,2014 CRF110F,gas,100,red,clean,manual,excellent,110,dirtbike,,2450,2014,houston,crf110f
526,2014 CVO Road King,gas,13000,custom,clean,manual,excellent,110,cruiser,,18000,2014,easttexas,cvo
527,2014 Can-Am® Spyder® RS SM5,gas,4322,black,clean,other,,,,2BXNAAC15EV000366,11750,2014,dallas,canam
528,2014 Custom H-D Street Glide,gas,14697,black,clean,manual,excellent,,touring,,14000,2014,houston,custom
529,2014 Ducati Monster 1200 S,gas,25553,red,clean,other,,,,ZDM1RBSW5EB000454,10950,2014,dallas,ducati
530,2014 Ducati Superbike 1199 Panigale,gas,15400,,clean,manual,,,sport bike,,12900,2014,houston,ducati
531,2014 FLHTK Ultra Limted,gas,22666,custom,clean,manual,excellent,,touring,,15900,2014,dallas,flhtk
532,2014 Genuine Buddy 125,gas,2562,blue,clean,automatic,excellent,125,scooter,,2000,2014,austin,genuine
533,2014 Genuine Buddy 170i Pamplona,gas,4500,red,clean,automatic,excellent,170,scooter,,3250,2014,austin,genuine
534,2014 HD Heritage Softtail,gas,35000,,,manual,excellent,,,,10000,2014,dallas,hd
535,2014 HONDA CTX700 DCT ABS AUTOMATIC 1850 MILES VERY NICE,gas,1850,black,clean,automatic,excellent,700,cruiser,,5500,2014,houston,honda
536,2014 Harley Davidson Breakout,gas,4301,black,clean,manual,like new,1690,cruiser,1HD1BFV19EB034354,14500,2014,abilene,harley
537,2014 Harley Davidson Iron 883,gas,7000,black,clean,manual,,883,,,5999,2014,austin,harley
538,2014 Harley Davidson street glide special,gas,9500,orange,clean,manual,excellent,1690,sport touring,,21500,2014,corpuschristi,harley
539,2014 Harley Heritage Classic,gas,2850,red,,manual,,,,,10000,2014,brownsville,harley
540,2014 Harley Street Glide,other,4494,grey,clean,manual,,,,1HD1KRM10EB643108,15500,2014,austin,harley
541,2014 Harley Street Glide - Loaded - Low miles!,gas,5344,,clean,other,,,,1HD1FCM13EB612999,17900,2014,beaumont,harley
542,2014 Harley Street Glide Special,gas,49300,custom,clean,manual,excellent,103,touring,,11900,2014,easttexas,harley
543,2014 Harley Ultra Limited Nice Loaded Low Miles,gas,19359,brown,clean,manual,excellent,1688,touring,,16700,2014,houston,harley
544,2014 Harley-Davidson Cvo Softail Deluxe FLSTNSE,gas,17653,,clean,manual,,,,1HD1TF911EB954762,22871,2014,corpuschristi,harleydavidson
545,2014 Harley-Davidson Dyna Switchback FLD103,gas,7846,,clean,manual,,,,1HD1GZM13EC322966,13899,2014,corpuschristi,harleydavidson
546,"2014 Harley-Davidson Electra Glide® Ultra Classic® Only 5,400 Miles",gas,5344,,clean,other,,,,1HD1FCM13EB612999,15699,2014,houston,harleydavidson
547,2014 Harley-Davidson ElectraGlide,gas,28652,silver,clean,manual,excellent,1690,touring,,16700,2014,waco,harleydavidson
548,2014 Harley-Davidson Sportster 1200 Custom XL1200CP,gas,5119,,clean,manual,,,,1HD1LH318EC417627,14579,2014,corpuschristi,harleydavidson
549,2014 Highball 1800CX,gas,5000,,,manual,,,,,7000,2014,sanantonio,highball
550,2014 Honda 250 CRFL for sale,gas,1117,red,clean,manual,excellent,250,dirtbike,,4800,2014,corpuschristi,honda
551,2014 Honda CBR 800,gas,18000,,clean,manual,good,,,,4000,2014,dallas,honda
552,2014 Honda Forza NSS,gas,7701,red,clean,automatic,like new,280,scooter,,4350,2014,dallas,honda
553,2014 Honda Interceptor,Unknown,18450,white,clean,manual,,,,JH2RC7956EK000027,8995,2014,dallas,honda
554,2014 Honda Interceptor DLX V4 782 cc,Unknown,18450,white,clean,manual,,,,JH2RC7956EK000027,8999,2014,dallas,honda
555,2014 Honda VFR 800 F,gas,18000,,clean,manual,good,,,,4000,2014,dallas,honda
556,2014 Honda® CB1000R,gas,509,black,clean,other,,,,ZDCSC6010EF215211,7950,2014,austin,honda
557,2014 Ice Bear Scooter,gas,14,,,automatic,,,,,600,2014,austin,ice
558,2014 Iron883 Harley davidson,gas,54509,black,clean,manual,good,883,,1HD4LE218EC451788,3800,2014,dallas,iron883
559,2014 Kawasaki Concours14 ABS,gas,16496,red,clean,other,,,,JKBZGNC17EA025151,9860,2014,sanantonio,kawasaki
560,2014 Kawasaki KLR 650,gas,3600,black,clean,manual,excellent,650,dual-sport,,4750,2014,abilene,kawasaki
561,2014 Kawasaki Vulcan,gas,18988,white,clean,other,,,,JKBVNRD14EA006132,6500,2014,dallas,kawasaki
562,2014 Kawasaki Vulcan 900 Custom V Twin 903 cc,,6599,green,clean,manual,,,,JKAVN2C19EA057171,5499,2014,dallas,kawasaki
563,2014 Kawasaki Vulcan® 1700 Nomad ABS,gas,18988,white,clean,other,,,,JKBVNRD14EA006132,9660,2014,dallas,kawasaki
564,2014 Kawasaki Z 1000,gas,6651,,clean,manual,excellent,,standard,JKBZRCB12GDA13929,8750,2014,easttexas,kawasaki
565,2014 Suzuki  GSX1300RAL4 GSX 1300 RAL 4 GSX-1300-RAL-4 HAYABUSA 50th,gas,15041,,clean,manual,excellent,,sport bike,JS1GX72B0E2101644,12999,2014,corpuschristi,suzuki
566,2014 Suzuki Burgman 200 ABS,gas,13328,silver,clean,automatic,good,,scooter,MLCCH41A7E1600104,2999,2014,waco,suzuki
567,2014 Suzuki GSX1300RAL4 GSX 1300 RAL 4 GSX-1300-RAL-4 HAYABUSA,gas,20297,,clean,manual,excellent,,sport bike,JS1GX72B1E2101104,11999,2014,abilene,suzuki
568,2014 Suzuki GSXR GSX R GSX-R 750 for $206/mo a month!,gas,2585,,clean,manual,excellent,,sport bike,JS1GR7MA8E2100501,9995,2014,dallas,suzuki
569,2014 Suzuki GSXR1000 GSXR 1000 GSXR-1000 GSX R1000 GSX-R1000,gas,11553,,clean,manual,excellent,,sport bike,JS1GT78AXE2101323,10999,2014,beaumont,suzuki
570,2014 Suzuki GSXR600 GSXR 600 GSXR-600 GSX R600 GSX-R600,gas,21931,,clean,manual,excellent,,sport bike,JS1GN7FAXE2100217,8990,2014,beaumont,suzuki
571,2014 Suzuki GSXR750 GSXR 750 GSXR-750 GSX R750 GSX-R750,gas,16257,,clean,manual,excellent,,sport bike,JS1GR7MA3E2100860,9699,2014,beaumont,suzuki
572,2014 Suzuki Gsxr 1000 Custom Fs/Ft,gas,8326,,salvage,manual,like new,999,,,7500,2014,dallas,suzuki
573,2014 Suzuki Hayabusa,gas,10601,,,manual,,,,,9500,2014,dallas,suzuki
574,2014 Suzuki RMZ 450 Supermoto **Excellent Condition**,gas,1234,black,missing,manual,excellent,450,dual-sport,,6000,2014,beaumont,suzuki
575,2014 Suzuki V-Strom 1000 ABS V Twin 1037 cc,Unknown,11877,black,clean,manual,,,,,8990,2014,easttexas,suzuki
576,2014 Suzuki vstrom,gas,15106,white,clean,manual,excellent,650,dual-sport,,6200,2014,corpuschristi,suzuki
577,2014 TRIUMPH TIGER 800 XC,gas,11000,black,clean,manual,like new,800,dual-sport,SMTE06BF9ET629273,8500,2014,austin,triumph
578,2014 Triumph Bonneville T100,gas,6860,,,manual,,900,,,7700,2014,dallas,triumph
579,2014 Ural Limited Edition MIR,gas,1864,white,clean,manual,excellent,749,other,X8JMH0376EU224661,15000,2014,dallas,ural
580,2014 Yamaha FZ 09,gas,21000,grey,clean,manual,excellent,850,,,5500,2014,dallas,yamaha
581,2014 Yamaha R1 R 1 R-1,gas,11319,,clean,manual,excellent,,sport bike,JYARN23E9EA018151,12999,2014,dallas,yamaha
582,2014 Yamaha R6 R 6 R-6,gas,16161,,clean,manual,excellent,,sport bike,JYARJ16E1EA032305,9349,2014,dallas,yamaha
583,2014 Yamaha Stryker V Twin 1304 cc,Unknown,12728,red,clean,manual,,,,JYAVP33E3EA009315,7250,2014,dallas,yamaha
584,2014 Yamaha Stryker®,gas,13335,,clean,other,,,,JYAVP33Y4EA000956,8450,2014,dallas,yamaha
585,2014 Yamaha V Star 950,gas,3124,red,clean,manual,excellent,,,,6999,2014,dallas,yamaha
586,2014 Yamaha YZF R6 Horizontal In-line 599 cc,Unknown,24150,red,clean,manual,,,,JYARJ16E9EA030933,9499,2014,dallas,yamaha
587,2014 Yamaha YZFR1 YZFR 1 YZFR-1 YZF R1 YZF-R1,gas,6152,,clean,manual,excellent,,sport bike,JYARN23E2EA016631,12999,2014,beaumont,yamaha
588,2014 Yamaha YZFR6 YZFR 6 YZFR-6 YZF R6 YZF-R6  FOR ONLY,gas,32888,,clean,automatic,excellent,,standard,JYARJ16Y3EA008095,6495,2014,dallas,yamaha
589,2014 fat boy lo,gas,4215,,,manual,,,,,13500,2014,dallas,fat
590,2014 harley davidson 72 classic,gas,4030,silver,clean,manual,good,1202,cruiser,,7500,2014,sanantonio,harley
591,2014 harley davidson streetglide,other,39434,white,clean,other,,,,,11500,2014,dallas,harley
592,2014 kawasaki ninja zx-14r,gas,14042,,clean,manual,excellent,,sport bike,JKBZXNE11CA001678,8000,2014,houston,kawasaki
593,2014 up Harley street glide body kit,gas,3000,green,clean,manual,like new,,touring,,2000,2014,abilene,up
594,2015 *BMW* *S1000* *R*,other,15553,black,clean,manual,,,,WB10D1207FZ199878,9981,2015,abilene,bmw
595,2015 *Harley-Davidson* *FLHXS* *Street* *Glide* *Special*,other,13017,black,clean,manual,,,,1HD1KRM18FB621312,18472,2015,abilene,harleydavidson
596,2015 *Harley-Davidson* *FLSTC* *Heritage* *Softail*,other,11787,black,clean,manual,,,,1HD1BWV17FB025251,14500,2015,abilene,harleydavidson
597,2015 *Harley-Davidson* *FLTRXS* *Road* *Glide*,other,5632,black,clean,manual,,,,1HD1KTM14FB643241,21971,2015,abilene,harleydavidson
598,2015 *Harley-Davidson* *XL1200X* *Sportster* *Forty-Eight* *ABS* Model,other,5637,,clean,manual,,,,1HD1LC310FC433812,9500,2015,abilene,harleydavidson
599,2015 BMW K 1600 GT,gas,25832,,clean,other,,,,WB1061102FZX82483,12999,2015,houston,bmw
600,2015 BMW K 1600 GTL Exclusive,gas,20310,white,clean,other,,,,WB1061300FZZ28229,16950,2015,dallas,bmw
601,2015 BMW K1600GT   ** PRICE REDUCED**,gas,23850,black,clean,manual,excellent,1600,sport touring,,12950,2015,beaumont,bmw
602,2015 BMW R 1200 GS,gas,15491,white,clean,manual,excellent,1200,dual-sport,,14950,2015,dallas,bmw
603,2015 BMW R 1200 GSA,gas,15491,white,clean,manual,excellent,1200,dual-sport,,16000,2015,dallas,bmw
604,2015 BMW R nineT,gas,4290,,clean,manual,like new,1200,,,10500,2015,austin,bmw
605,2015 BMW R1200 GS Adventure,gas,13691,blue,clean,manual,excellent,1200,dual-sport,,15000,2015,collegestation,bmw
606,2015 BMW S1000 S 1000 S-1000 RR,gas,23271,,clean,manual,excellent,,sport bike,WB10D2106FZ351219,13499,2015,beaumont,bmw
607,2015 BMW S1000 S 1000 S-1000 RR Premium Package,gas,10808,,clean,manual,excellent,,sport bike,WB10D2108FZ352789,14499,2015,beaumont,bmw
608,2015 CAN-AM SPYDER RSS,gas,5657,,clean,manual,,,,,9900,2015,dallas,canam
609,2015 Ducati Hypermotard SP Longitudinal Twin 821.1 cc,Unknown,11360,white,clean,manual,,,,ZDM1YBTS9FB011084,8980,2015,austin,ducati
610,2015 Fz 07,gas,25000,black,clean,manual,good,689,sport bike,JYARM06E0GA006721,6800,2015,dallas,fz
611,2015 Goldwing,gas,7530,silver,clean,manual,like new,1800,touring,,20000,2015,easttexas,goldwing
612,2015 HARLEY DAVIDSON SPORTSTER IRON 883,gas,6410,custom,clean,manual,good,883,sport bike,,7380,2015,dallas,harley
613,2015 HARLEY-DAVIDSON Sportster XL1200C,gas,21862,custom,clean,manual,excellent,,cruiser,1HD1CT315FC429870,6695,2015,dallas,harleydavidson
614,2015 HD Sportster 1200 Custom,gas,8827,orange,clean,manual,good,1200,cruiser,,7895,2015,beaumont,hd
615,2015 Harley CVO,gas,6200,custom,clean,manual,like new,,touring,,22500,2015,houston,harley
616,2015 Harley Davidson 48,diesel,218,black,clean,manual,like new,1200,,,9000,2015,houston,harley
